2025-08-02 13:12:13,564 INFO    MainThread:13124 [wandb_init.py:setup_run_log_directory():703] Logging user logs to C:\Users\AMD\sentinel\desktop-app\wandb\run-20250802_131213-4239lvxe\logs\debug.log
2025-08-02 13:12:13,565 INFO    MainThread:13124 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to C:\Users\AMD\sentinel\desktop-app\wandb\run-20250802_131213-4239lvxe\logs\debug-internal.log
2025-08-02 13:12:13,565 INFO    MainThread:13124 [wandb_init.py:init():830] calling init triggers
2025-08-02 13:12:13,565 INFO    MainThread:13124 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'system_version': 'v5.1', '_wandb': {}}
2025-08-02 13:12:14,971 INFO    MainThread:13124 [wandb_init.py:init():871] starting backend
2025-08-02 13:12:14,971 INFO    MainThread:13124 [wandb_init.py:init():874] sending inform_init request
2025-08-02 13:12:14,971 INFO    MainThread:13124 [wandb_init.py:init():882] backend started and connected
2025-08-02 13:12:14,971 INFO    MainThread:13124 [wandb_init.py:init():953] updated telemetry
2025-08-02 13:12:15,036 INFO    MainThread:13124 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-08-02 13:12:15,287 INFO    MainThread:13124 [wandb_init.py:init():1029] starting run threads in backend
2025-08-02 13:12:15,632 INFO    MainThread:13124 [wandb_run.py:_console_start():2458] atexit reg
2025-08-02 13:12:15,632 INFO    MainThread:13124 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-08-02 13:12:15,632 INFO    MainThread:13124 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-08-02 13:12:15,632 INFO    MainThread:13124 [wandb_run.py:_redirect():2398] Redirects installed.
2025-08-02 13:12:15,636 INFO    MainThread:13124 [wandb_init.py:init():1075] run started, returning control to user process
2025-08-02 13:12:15,806 INFO    MsgRouterThr:13124 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 2 handles.
